Time Step - No.;Time Step - Repetitions;Newton Iterations;Cumulative Time - DAYS;Date;Cumulative Production Oil MSTB;Cumulative Production Gas MMSCF;Cumulative Production Water MSTB;Cumulative Injection Gas MMSCF;Cumulative Injection Water MSTB;Production Rate Oil STB/D;Production Rate Gas MSCF/D;Production Rate Water STB/D;Injection Rate Gas MSCF/D;Injection Rate Water STB/D;Gaslift Rate - MSCF/D;Cumulative Gaslift - MMSCF;Gas Oil Ratio MSCF/STB;Water Oil Ratio STB/STB;Water Cut - STB/STB;Recovery OOIP - %;Ave.Wt. Pressure Tot-PV PSIA;Ave.Wt. Pressure HCPV+ PSIA;CPU TIME - Seconds;Elapsed TIME - Seconds
132;0;1;3653;Mon Jan 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.13;4679.74;658.4;661.1
133;0;1;3684;Thu Feb 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.15;4679.64;663;665.8
134;0;1;3712;Thu Mar 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.17;4679.54;667.6;670.3
135;0;1;3743;Sun Apr 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.2;4679.44;672.1;674.8
136;0;1;3773;Tue May 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.22;4679.35;678.3;681.1
137;0;1;3804;Fri Jun 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.24;4679.25;682.9;685.7
138;0;1;3834;Sun Jul 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.26;4679.15;687.5;690.2
139;0;1;3865;Wed Aug 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.28;4679.05;692.1;694.8
140;0;1;3896;Sat Sep 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.3;4678.95;696.7;699.4
141;0;1;3926;Mon Oct 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.32;4678.86;701.2;704
142;0;1;3957;Thu Nov 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.35;4678.76;705.9;708.6
143;0;1;3987;Sat Dec 01 00:00:00 GST 2001;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.37;4678.67;710.5;713.2
144;0;1;4018;Tue Jan 01 00:00:00 GST 2002;0;0;8182.227;0;0;0;0;0;0;0;0;0;0;0;0;0;4756.39;4678.57;715.1;717.9
